Name,Platform,Year,Genre,Publisher
Amazing Princess Sarah,"Xbox 360, Microsoft Windows, Windows Phone, Xbox One",2014,"Platform-adventure, action role-playing, Metroidvania[4]",Haruneko
America's Army 3,Windows,2002,First-person shooter,United States Army
American Conquest,Microsoft Windows,N/A,Real-time strategy,CDV Software Entertainment
Amnesia The Dark Descent,Microsoft Windows,OS X,Survival horror[1],Frictional Games
Anachronox,Microsoft Windows,2001,Role-playing video game,NA: Eidos Interactive
Angry Birds Space,"iOS, Android, BlackBerry 10, Windows Phone, Microsoft Windows, BlackBerry Tablet OS, Mac OS X",2012,Puzzle,Rovio Entertainment
Anno 1404,Microsoft Windows,2009,"City-building, business simulation, real-time strategy",Ubisoft
Anomaly Warzone Earth,"Windows, Mac OS X, Linux, iOS, Android, Xbox 360, PlayStation Network, Blackberry 10",OS X,"Real-time strategy, tower defense",Headup Games (Germany)
AquaNox,Microsoft Windows,N/A,Futuristic Sub Sim,Fishtank Interactive
ArcheAge,Microsoft Windows,N/A,MMORPG,ROK: XL Games
Arma 2,Microsoft Windows,N/A,"First-person shooter, tactical shooter",Bohemia Interactive
Arma 3,Microsoft Windows[1],2013,Tactical shooter,Bohemia Interactive
Armada 2526,Microsoft Windows,2009,4X,Tri Synergy
Ashes of the Singularity,Microsoft Windows,2016,Real-time strategy,Stardock Entertainment
Assassin's Creed Brotherhood,PlayStation 3,2010,"Action-adventure, stealth",Ubisoft
Assassin's Creed Freedom Cry,Microsoft Windows[2],2013,"Action-adventure, stealth",Ubisoft
Assassin's Creed IV Black Flag,Microsoft Windows[2],2013,"Action-adventure, stealth",Ubisoft
Assassin's Creed Revelations,PlayStation 3,Xbox,"Action-adventure, stealth",Ubisoft
Assassin's Creed Rogue,PlayStation 3,2014,"Action-adventure, stealth",Ubisoft
Assassins Creed Unity,Microsoft Windows,2014,"Action-adventure, stealth",Ubisoft
Atlantica Online,Microsoft Windows,2008,"MMORPG, Tactical RPG",KR NDOORS Corporation
Atom Zombie Smasher ,"Windows, OS X, Linux",N/A,Real-time strategy,N/A
Audiosurf,"Microsoft Windows,[1] Zune HD",2008,Puzzle/Rhythm combination,Valve Corporation
Audition Online,Microsoft Windows,2007,Music video game and MMOG,YD Online (2006 - 2015)
Aura Kingdom,Windows,2013,MMORPG,Aeria Games
Autobahn Police Simulator,"Microsoft Windows, iOS",N/A,"Simulation, Casual, open-world",Aerosoft GmbH
Azure Striker Gunvolt,Nintendo 3DS,2014,"Action, platform",Inti Creates
BIT.TRIP BEAT,"Wii, iOS, Windows, Mac OS X, Nintendo 3DS, Android, Linux",2009,"Action, Music","Aksys Games (Wii & 3DS, North America and Europe)"
BRINK,Microsoft Windows,N/A,First-person shooter,Bethesda Softworks
Babel Rising,"iPhone, iPod, iPad, PlayStation Network, Xbox Live Arcade, Android, Windows Phone 7, Windows Phone 8, Microsoft Windows, WiiWare",2012,Tower defense,Ubisoft
Bad Rats,Microsoft Windows,N/A,Puzzle,Invent4 Entertainment
Bardbarian,"Android, Blackberry, iOS, Mac OS X, Windows",2014,N/A,Bulkypix
Batman Arkham Asylum,PlayStation 3,2009,Action-adventure,Eidos Interactive
Batman Arkham City,PlayStation 3,2011,Action-adventure,Warner Bros. Interactive Entertainment
Batman Arkham Knight,Microsoft Windows,2015,Action-adventure,Warner Bros. Interactive Entertainment
Battle Nations,"iOS, OS X, Android, Microsoft Windows",2011,"Turn-based strategy, simulation",N/A
Battle for Graxia,Microsoft Windows,2012,Multiplayer online battle arena,Petroglyph Games
Battle vs Chess,"Microsoft Windows, Mac OS X, Nintendo DS, PlayStation 3, PlayStation Portable, Xbox 360, Wii",2011,Board game,TopWare Interactive
Battlefield Bad Company 2,Microsoft Windows,2010,First-person shooter,Electronic Arts
Battlestations Midway,"Xbox 360, Microsoft Windows, Mac OS X, Xbox One (Backwards compatibility)",2007,"Action, real-time tactics",Eidos Interactive
Battlestations Pacific,"Xbox 360, Microsoft Windows, Mac OS X",2009,"Action, real-time tactics",Eidos Interactive
BeamNG.drive,Microsoft Windows,N/A,Vehicle simulation,BeamNG GmbH
Bejeweled Deluxe,Windows,2001,Puzzle,PopCap Games
Beyond Divinity,"Microsoft Windows, Mac OS X",2004,Role-playing,NA: HIP Interactive
Big Brain Wolf,"Mac OS X, Windows",2009,"Adventure game, puzzle game",Frima Studio
Bionic Commando Rearmed,"Microsoft Windows, PlayStation 3 (PSN), Xbox 360 (XBLA)",2008,"Platform game, Metroidvania[2]",Capcom
Blackguards 2,"Microsoft Windows, OS X",2015,"Turn-based tactics, tactical role-playing",Daedalic Entertainment
Blacklight Retribution,"Microsoft Windows,[2] PlayStation 4",2012,First-person shooter[5],Perfect World Entertainment[2]
